# l  H_ME_l   H_ME_(l+1)   H_finalState_l   H_finalState_(l+1)
  -1 nan 1. nan 1.
  85  2.9480104454699319e-01  5.5662751919826592e-01  1.9397790409756163e-01  1.4054787333316079e-01
  87  2.9401139803041476e-01  5.3798404726948057e-01  2.0096825028421789e-01  1.3605022500362510e-01
  89  3.0244489203786473e-01  5.2284857723913236e-01  2.0781397266859317e-01  1.3269584569861478e-01
  91  3.1850344730725483e-01  5.1685825050879242e-01  2.1055636737398542e-01  1.3167058515032473e-01
  93  3.3621839061713998e-01  5.1728119923409388e-01  2.0771136302140281e-01  1.3401522185177853e-01
  95  3.4903519749108503e-01  5.1600350106313408e-01  2.0114745556036356e-01  1.3569149877089190e-01
  97  3.5478538762076811e-01  5.0584117086566871e-01  1.9220212648677762e-01  1.3836910758815987e-01
  99  3.5787425779817683e-01  4.8539644518001612e-01  1.8167468529107164e-01  1.4037312783697403e-01
 101  3.6654107380975104e-01  4.5926316517166410e-01  1.7058312204939718e-01  1.4428317062495144e-01
 103  3.8680256882692043e-01  4.3411487245569980e-01  1.6182085500642635e-01  1.4848768661346101e-01
 105  4.1746408027170201e-01  4.1410793647883587e-01  1.5278504987211025e-01  1.5234071578190325e-01
 107  4.5009722041839317e-01  3.9902360406066550e-01  1.4725522767569157e-01  1.5383520266625705e-01
 109  4.7433697250161727e-01  3.8598720930635988e-01  1.4387294749812418e-01  1.5565846934458480e-01
 111  4.8485395369886319e-01  3.7272299397239117e-01  1.4227590156030706e-01  1.5829690444255720e-01
 113  4.8496173408219084e-01  3.5942323887496552e-01  1.3990483641345577e-01  1.5929271736934736e-01
 115  4.8416202560319443e-01  3.4792054722355398e-01  1.4110365587906273e-01  1.5776688890010723e-01
 117  4.9132275385955287e-01  3.3937928381611038e-01  1.4225194254817905e-01  1.5502619656974001e-01
 119  5.0836530864863771e-01  3.3295131192518218e-01  1.4310099083824429e-01  1.5438733543239658e-01
 121  5.2894338723174938e-01  3.2678543903847312e-01  1.4328226711997133e-01  1.5372507475774896e-01
 123  5.4294193293022763e-01  3.2045715727779411e-01  1.4361573313623230e-01  1.5319656185788208e-01
 125  5.4344555533767069e-01  3.1639741142184130e-01  1.4331345144041585e-01  1.5136156291664704e-01
 127  5.3119170315372988e-01  3.1861752424000422e-01  1.4341858462582899e-01  1.5117862595227849e-01
 129  5.1354221919798448e-01  3.2940663245714230e-01  1.4280717128519768e-01  1.5085305163019516e-01
 131  4.9905585630509997e-01  3.4668820327189398e-01  1.4009861110055158e-01  1.5186201594967416e-01
