#                     z                      raw                 natural                    under                     over
-9.5971679687500000e-01  -2.6531116029616215e+00  1.6681879080187327e+00  1.8944751221078675e+00  7.4853642064946504e+00
-9.5922851562500000e-01  1.2081051750119165e+01  1.6098059292542322e+00  3.8958312392215642e+00  7.4367438867610263e+00
-9.5874023437500000e-01  6.8444559594789105e+00  1.5515798903712681e+00  4.7594850680910383e+00  7.3884378509136779e+00
-9.5825195312500000e-01  -1.0692035112089380e+00  1.4934976781114677e+00  4.4375492316577549e+00  7.3404441257818762e+00
-9.5776367187500000e-01  6.6178675232173507e+00  1.4355937389584599e+00  3.7892753719481163e+00  7.2927607501316993e+00
-9.5727539062500000e-01  7.6144274124908691e+00  1.3779402251204342e+00  2.6092779860171746e+00  7.2453857745966754e+00
-9.5678710937500000e-01  -4.2206621941113474e+00  1.3206389885070065e+00  1.1494827431943324e+00  7.1983172616087971e+00
-9.5629882812500000e-01  -3.6895686393305223e+00  1.2638143674186424e+00  5.0414427029790965e-01  7.1515532853299240e+00
-9.5581054687500000e-01  6.4850012273188886e+00  1.2076067167194937e+00  5.0112735802503661e-01  7.1050919315835701e+00
-9.5532226562500000e-01  2.0936593502482892e+00  1.1521666381547386e+00  1.3604206152820550e-01  7.0589312977870682e+00
-9.5483398437500000e-01  -7.2120434789863470e+00  1.0976498726666297e+00  -2.6480003154535775e-01  7.0130694928841049e+00
-9.5434570312500000e-01  -3.7717563456511366e-01  1.0442128207220513e+00  2.6950171710269383e-02  6.9675046372776563e+00
-9.5385742187500000e-01  7.5260649536815984e+00  9.9200865962095397e-01  3.4227295963660731e-01  6.9222348627632559e+00
-9.5336914062500000e-01  -1.0575860437790372e+00  9.4118402849009541e-01  4.2452094454973478e-02  6.8772583124626774e+00
-9.5288085937500000e-01  -7.4919012864881349e+00  8.9187625226788780e-01  -1.9768082792970435e-02  6.8325731407579635e+00
-9.5239257812500000e-01  2.5258446021551575e+00  8.4421107563128295e-01  7.0553318654459518e-01  6.7881775132258122e+00
-9.5190429687500000e-01  8.5145290314822173e+00  7.9830087672983763e-01  1.2100616399676873e+00  6.7440696065723653e+00
-9.5141601562500000e-01  -1.1195269741110503e+00  7.5424332903129987e-01  8.4402035525416108e-01  6.7002476085683371e+00
-9.5092773437500000e-01  -5.7810065543318823e+00  7.1212047780497689e-01  4.3024309334804711e-01  6.6567097179844650e+00
-9.5043945312500000e-01  3.2854665326788415e+00  6.7199819601640487e-01  4.8752366593460295e-01  6.6134541445274380e+00
-9.4995117187500000e-01  5.9574992201747223e+00  6.3392598289083346e-01  3.7793679475878789e-01  6.5704791087760368e+00
-9.4946289062500000e-01  -3.7227539553972191e+00  5.9793706729566709e-01  -9.3896526009299888e-02  6.5277828421177420e+00
-9.4897460937500000e-01  -5.7289334514407235e+00  5.6404877751740634e-01  -1.8485992680133706e-01  6.4853635866856392e+00
-9.4848632812500000e-01  4.0806404498366495e+00  5.3226313904306655e-01  2.0372703081782700e-01  6.4432195952956945e+00
-9.4799804687500000e-01  5.7427655722738900e+00  5.0256766262876251e-01  2.5320811281485156e-01  6.4013491313843875e+00
-9.4750976562500000e-01  -4.0956904717553400e+00  4.7493628623601530e-01  -1.4977783306421730e-01  6.3597504689466673e+00
-9.4702148437500000e-01  -5.7790996520981004e+00  4.4933043628948266e-01  -1.9206001875118686e-01  6.3184218924743014e+00
-9.4653320312500000e-01  3.9690288120822008e+00  4.2570017607955213e-01  2.6553613958407807e-01  6.2773616968945047e+00
-9.4604492187500000e-01  6.0239959931231581e+00  4.0398541190165282e-01  4.4490558108101508e-01  6.2365681875089694e+00
-9.4555664062500000e-01  -3.2931707649354789e+00  3.8411713057864977e-01  1.7072145426876334e-01  6.1960396799332234e+00
-9.4506835937500000e-01  -5.5120395881804480e+00  3.6601864523928596e-01  1.4283582140164638e-01  6.1557745000362951e+00
-9.4458007812500000e-01  3.7849456645192965e+00  3.4960682951091004e-01  5.0369947859510733e-01  6.1157709838807586e+00
-9.4409179687500000e-01  6.6936428858918697e+00  3.3479332352309560e-01  5.3786837232523454e-01  6.0760274776630920e+00
-9.4360351562500000e-01  -2.5262461809953498e+00  3.2148569822096329e-01  6.1085715297188002e-02  6.0365423376543745e+00
-9.4311523437500000e-01  -6.7203682735566233e+00  3.0958856737444107e-01  -1.8746293269906852e-01  5.9973139301413063e+00
-9.4262695312500000e-01  1.7324940441424885e+00  2.9900463928769111e-01  1.1335967143295447e-01  5.9583406313675882e+00
-9.4213867187500000e-01  6.9771552009458198e+00  2.8963570251947701e-01  3.1393331175540135e-01  5.9196208274755975e+00
-9.4165039062500000e-01  -6.3865481332148311e-01  2.8138354190135256e-01  2.0379194874520064e-02  5.8811529144484060e+00
-9.4116210937500000e-01  -7.0364053012749297e+00  2.7415078278001814e-01  -1.9630296082399259e-01  5.8429352980521250e+00
-9.4067382812500000e-01  -4.9083504076885026e-01  2.6784166272428073e-01  1.2358333435205868e-01  5.8049663937785638e+00
-9.4018554687500000e-01  7.2292870966951419e+00  2.6236273094648055e-01  4.7111914013413292e-01  5.7672446267882274e+00
-9.3969726562500000e-01  2.3901949066630706e+00  2.5762347642590333e-01  2.6867185713740172e-01  5.7297684318536088e+00
-9.3920898437500000e-01  -6.2880503787374717e+00  2.5353688622432757e-01  -1.1863746695319338e-01  5.6925362533028343e+00
-9.3872070312500000e-01  -3.5512152840424420e+00  2.5001993579355630e-01  -4.0782601406684466e-02  5.6555465449635820e+00
-9.3823242187500000e-01  5.5401571212793774e+00  2.4699401323439263e-01  3.1812095900739995e-01  5.6187977701073741e+00
-9.3774414062500000e-01  5.0139174337426526e+00  2.4438527951726369e-01  3.0845298850316610e-01  5.5822884013940923e+00
-9.3725585937500000e-01  -4.0485122532103253e+00  2.4212496665606381e-01  -3.9255303650087947e-02  5.5460169208169328e+00
-9.3676757812500000e-01  -5.8419741406417955e+00  2.4014961577271735e-01  -9.7340355611345492e-02  5.5099818196475283e+00
-9.3627929687500000e-01  2.6876436366584211e+00  2.3840125692963948e-01  2.4412979371184618e-01  5.4741815983814979e+00
-9.3579101562500000e-01  6.9163532289538345e+00  2.3682753256421202e-01  3.8355421019884356e-01  5.4386147666842373e+00
-9.3530273437500000e-01  -3.4403232779844134e-01  2.3538176635003558e-01  5.1017041624571220e-02  5.4032798433370299e+00
-9.3481445312500000e-01  -6.9569783681386879e+00  2.3402297934582297e-01  -1.9535270918120501e-01  5.3681753561834640e+00
-9.3432617187500000e-01  -2.0616617593428166e+00  2.3271585537873030e-01  1.5855799551199487e-01  5.3332998420761557e+00
-9.3383789062500000e-01  6.2345830303684844e+00  2.3143065774623656e-01  7.9001110035205735e-01  5.2986518468237627e+00
-9.3334960937500000e-01  4.9125494847822155e+00  2.3014309950419987e-01  1.0673212013672055e+00  5.2642299251383031e+00
