  Particle         ID     Status                         E                        px                        py                        pz                         m          Charge    Visible
       108         22         91    4.8812260305545806e+01    3.6981727966343655e+01   -3.0362175443902446e+00   -3.1713876076299083e+01    0.0000000000000000e+00               0          1
       109         22         91    1.3534120216471496e-01   -2.7159569325343809e-02   -8.8204269751063213e-02   -9.8992957300677545e-02    0.0000000000000000e+00               0          1
       110         22         91    7.3873961037884517e-01   -1.5960922340067036e-02   -6.6523251402323369e-01   -3.2085380344803499e-01    0.0000000000000000e+00               0          1
       111         22         91    3.9919130488672787e-02   -3.3517718297017732e-02    2.1328369648803223e-02    3.8987417531119242e-03    0.0000000000000000e+00               0          1
       112         22         91    2.1521963659000642e-01    9.1329671890804626e-02    8.7376760083861346e-02    1.7419438797934836e-01    0.0000000000000000e+00               0          1
       113         22         91    5.5857779274884600e-01   -2.7707595567427662e-01    1.5881597176193157e-01    4.5827453829846626e-01    0.0000000000000000e+00               0          1
       114         11         91    1.4852600618903691e-01   -6.9319885542986737e-02    8.0467550456757575e-02    1.0382408287705815e-01    5.1099999999999995e-04              -1          1
       115        -11         91    2.4306953137352738e-01   -1.1597472707766830e-01    1.3201093168839947e-01    1.6794496882957621e-01    5.1099999999999995e-04               1          1
       116         22         91    4.2857066473980749e+00   -2.1255737494610782e+00    2.7272118901586664e+00    2.5321005132757293e+00    0.0000000000000000e+00               0          1
       117         22         91    5.4816022489602503e+00   -2.7498169473313818e+00    3.5741538733755918e+00    3.1163911919734071e+00    0.0000000000000000e+00               0          1
       118         22         91    7.2490036777274203e-01   -3.2649111122684427e-01    4.4326927237286429e-01    4.7158928068495026e-01    0.0000000000000000e+00               0          1
       119         22         91    6.9430256036884508e-01   -3.8454258291058852e-01    4.6208351795386138e-01    3.4736417446042206e-01    0.0000000000000000e+00               0          1
       120         22         91    1.6499324707950040e+00   -8.5802759429521502e-01    1.0047196634285680e+00    9.8823286908079344e-01    0.0000000000000000e+00               0          1
       121         22         91    1.0390553909129503e+00   -4.8992151577933629e-01    7.1406131316121013e-01    5.7422073700644938e-01    0.0000000000000000e+00               0          1
       122         22         91    1.1104662263231917e+01   -5.3950568651377724e+00   -8.7578211587200148e+00    4.1841909557586838e+00    0.0000000000000000e+00               0          1
       123         22         91    1.2042723410183346e+01   -5.9569828215698424e+00   -9.4133894040177069e+00    4.5748926463936659e+00    0.0000000000000000e+00               0          1
